"Report Type","DBN","School Name","Grade","Year","Demographic Category","Demographic Variable","# Total Days","# Days Absent","# Days Present","% Attendance","# Contributing 20+ Total Days","# Chronically Absent","% Chronically Absent","Total Enrollment","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multiple Race Categories Not Represented","% Multiple Race Categories Not Represented","# White","% White","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
"School","01M015","P.S. 015 Roberto Clemente","All Grades","2017-18","All Students","All Students",33264,2078,31186,93.8,195,37,19,190,17,28,32,33,23,31,26,0,0,0,0,0,0,0,99,52.1,91,47.9,20,10.5,52,27.4,110,57.9,2,1.1,6,3.2,45,23.7,8,4.2,161,84.7,89
"School","01M019","P.S. 019 Asher Levy","All Grades","2017-18","All Students","All Students",46335,3994,42341,91.4,272,94,34.6,257,13,34,38,42,46,42,42,0,0,0,0,0,0,0,114,44.4,143,55.6,23,8.9,49,19.1,166,64.6,3,1.2,16,6.2,87,33.9,8,3.1,197,76.7,67.2
"School","01M020","P.S. 020 Anna Silver","All Grades","2017-18","All Students","All Students",88007,6689,81318,92.4,527,155,29.4,497,34,71,82,69,89,83,69,0,0,0,0,0,0,0,244,49.1,253,50.9,147,29.6,51,10.3,264,53.1,19,3.8,16,3.2,114,22.9,86,17.3,356,71.6,79.2
"School","01M034","P.S. 034 Franklin D. Roosevelt","All Grades","2017-18","All Students","All Students",59315,6079,53236,89.8,368,149,40.5,333,13,25,18,22,47,35,36,38,41,58,0,0,0,0,150,45,183,55,11,3.3,106,31.8,204,61.3,3,0.9,9,2.7,122,36.6,25,7.5,325,97.6,93.9
"School","01M063","The STAR Academy - P.S.63","All Grades","2017-18","All Students","All Students",36452,2797,33655,92.3,211,60,28.4,203,26,40,29,36,22,23,27,0,0,0,0,0,0,0,100,49.3,103,50.7,6,3,37,18.2,128,63.1,8,3.9,24,11.8,67,33,2,1,166,81.8,75.9
"School","01M064","P.S. 064 Robert Simon","All Grades","2017-18","All Students","All Students",43922,4561,39361,89.6,260,111,42.7,245,35,27,44,37,30,36,36,0,0,0,0,0,0,0,101,41.2,144,58.8,11,4.5,51,20.8,167,68.2,3,1.2,13,5.3,71,29,5,2,223,91,87.6
"School","01M110","P.S. 110 Florence Nightingale","All Grades","2017-18","All Students","All Students",67561,3896,63665,94.2,397,74,18.6,379,30,64,52,55,48,57,73,0,0,0,0,0,0,0,166,43.8,213,56.2,64,16.9,37,9.8,168,44.3,11,2.9,99,26.1,47,12.4,14,3.7,235,62,57.5
"School","01M134","P.S. 134 Henrietta Szold","All Grades","2017-18","All Students","All Students",53376,5502,47874,89.7,325,142,43.7,297,20,36,27,47,52,57,58,0,0,0,0,0,0,0,131,44.1,166,55.9,33,11.1,64,21.5,182,61.3,7,2.4,11,3.7,119,40.1,26,8.8,269,90.6,89
"School","01M140","P.S. 140 Nathan Straus","All Grades","2017-18","All Students","All Students",67505,7243,60262,89.3,412,188,45.6,371,18,28,29,24,24,28,29,60,65,66,0,0,0,0,182,49.1,189,50.9,21,5.7,46,12.4,292,78.7,2,0.5,10,2.7,115,31,36,9.7,324,87.3,90.6
"School","01M142","P.S. 142 Amalia Castro","All Grades","2017-18","All Students","All Students",60821,5018,55803,91.7,367,113,30.8,340,32,68,56,49,44,50,41,0,0,0,0,0,0,0,152,44.7,188,55.3,8,2.4,43,12.6,281,82.6,7,2.1,1,0.3,122,35.9,27,7.9,331,97.4,90.4
